superblock,block,condition,sounddir,audioo,audioTarget,visuall,visualTarget,showprompt
8,2,Visual,bird,1,,5,,1
8,2,Visual,bird,5,,4,,1
8,2,Visual,bird,6,,6,,1
8,2,Visual,bird,6,,5,,1
8,2,Visual,bird,5,,5,1,1
8,2,Visual,bird,1,,2,,1
8,2,Visual,bird,1,,6,,1
8,2,Visual,bird,3,,1,,1
8,2,Visual,bird,6,,4,,1
8,2,Visual,bird,4,,6,,1
8,2,Visual,bird,3,,6,1,1
8,2,Visual,bird,6,,4,,1
8,2,Visual,bird,1,,1,,1
8,2,Visual,bird,3,,1,1,1
8,2,Visual,bird,4,,2,,1
8,2,Visual,bird,5,,6,,1
8,2,Visual,bird,5,,4,,1
8,2,Visual,bird,6,,3,,1
8,2,Visual,bird,4,,3,1,1
8,2,Visual,bird,4,,2,,1
8,2,Visual,bird,2,,6,,1
